Crouching Deity/Hidden Supreme	/en/article/Bob_Debold/Crouching_Deity_Hidden_Supreme	Bob Debold	Cosmic consciousness
We Are the Creatures Who Carry the Life	/en/article/Adam_Aon_Lawrence/We_Are_the_Creatures_Who_Carry_the_Life	Adam Aon Lawrence	Poetry
Volume 11, Number 2, 2011 (Summer)	/image/article/Herald_covers/Herald2011.jpg	is-issue	--------------------------------------------------------
The First Epochal Revelation in American Indian Traditions	/en/article/Dave_Holt/The_First_Epochal_Revelation_in_American_Indian_Traditions	Dave Holt	History, History of Urantia
The Power of The Name of Jesus	/en/article/Charles_Laurence_Olivea/The_Power_of_The_Name_of_Jesus	Charles Laurence Olivea	Jesus, Michael
Machiventa Melchizedek: One of History's Mysteries	/en/article/Linda_Buselli/Machiventa_Melchizedek_One_of_Historys_Mysteries	Linda Buselli	Epochal Revelations, Celestial beings, History
“Nearer, My God, to Thee” Getting Closer to God	/en/article/David_Glass/Nearer_My_God_to_Thee_Getting_Closer_to_God	David Glass	God
One Man's Tour Through The Evolutionary Debate	/en/article/One_Mans_Tour_Through_The_Evolutionary_Debate	---	Evolution, Evolutionism
One in Ten Million	/en/article/Francis_E_Baca/One_in_Ten_Million	Francis E. Baca	Poetry
Volume 12, Number 1, 2012 (Summer)	/image/article/Herald_covers/Herald2012.jpg	is-issue	--------------------------------------------------------
Souls on Purpose: The Personal Creed Project	/en/article/John_Creger/Souls_on_Purpose_The_Personal_Creed_Project	John Creger	Purpose, Personal growth
Evolutionary Spirituality	/en/article/Steve_McIntosh/Evolutionary_Spirituality	Steve Macintosh	Spirituality
Urantia, 606 of Satania: Concerning the Inhabited Worlds of the Satania System	/en/article/Israel_Dix/Urantia_606_of_Satania	Israel Dix	Urantia, Astronomy, Future
Perfecting, Neuroplasticity, and the Supreme Actualizing	/en/article/Lawrence_Schkade/Perfecting_Neuroplasticity_and_the_Supreme_Actualizing	Lawrence Schkade	Spiritual Growth, Medicine, The Supreme
Race and The Urantia Book	/en/article/Earlene_Green/Race_and_The_Urantia_Book	Earlene Green	Race
Religion of Experience vs Religion of Authority	/en/article/Richard_S_Omura/Religion_of_Experience_vs_Religion_of_Authority_2	Richard S. Omura	Religion, Spirituality
The Forgotten Urantian: Dr. Lena Sadler	/en/article/Larry_Mullins/The_Forgotten_Urantian_Dr_Lena_Sadler	Larry Mullins	William Sadler, History of Urantia Movement
Cosmology in the Light of The Urantia Book	/en/article/Philip_Calabrese/Cosmology_in_the_Light_of_The_Urantia_Book	Philip Calabrese	Cosmology, Physics
Volume 13, Number 1, 2013 (Summer)	/image/article/Herald_covers/Herald2013.jpg	is-issue	--------------------------------------------------------
Spiritual Genetics	/en/article/Stephen_Dreier/Spiritual_Genetics	Steve Dreier	Personality, Morality
Religion of One	/en/article/Gary_Deinstadt/Religion_of_One	Gary Deinstadt	Religion, Revelation
A Cosmology of Race	/en/article/Charles_Laurence_Olivea/A_Cosmology_of_Race	Charles Olivea	Race
Exploring the Inner Life	/en/article/Dave_Holt/Exploring_the_Inner_Life	Dave Holt	Inner Life
Spiritual Faith, Incertainty and Cosmic Citizenship	/en/article/David_Kantor/Spiritual_Faith_Incertainty_and_Cosmic_Citizenship	David Kantor	Faith
Moods, Music and Magic of The Urantia Book	/en/article/David_Glass/Moods_Music_and_Magic_of_The_Urantia_Book	David Glass	Dissemination
A Statistical Test of the Hypothesis the That Urantia Book was authored by a Human Being	/en/article/Philip_Calabrese/A_Statistical_Test_of_Hypothesis_Urantia_Book_authored_by_a_Human_Being	Philip Calabrese	The Urantia Book, The Urantia Book—Authorship
Volume 14, Number 1, 2014 (Summer)	/image/article/Herald_covers/Herald2014.jpg	is-issue	--------------------------------------------------------
The Rehabilitation of Urantia	/en/article/Carolyn_Kendall/The_Rehabilitation_of_Urantia	Carolyn Kendall	Urantia, Epochal Revelations, Planetary government
The Journey Following Mortal Death	/en/article/William_S_Sadler_Jr/The_Journey_Following_Mortal_Death	William S. Sadler Jr.	Life after death
Pursuing Supremacy: How Might the Master Seraphim and Human Beings Collaborate?	/en/article/Bob_Debold/Pursuing_Supremacy_How_Might_the_Master_Seraphim_and_Human_Beings_Collaborate	Bob Debold	The Supreme, Angels and midwayers
Urantian Language and the Preservation of Meaning	/en/article/Richard_Daunt/Urantian_Language_and_the_Preservation_of_Meaning	Richard Daunt	Religion, Adversity
Origin, Nature, Ministry, and Destiny of Thought Adjusters	/en/article/David_Glass/Origin_Nature_Ministry_and_Destiny_of_Thought_Adjusters	David Glass	Thought Adjusters
Spiritual Unity	/en/article/Richard_Goodman/Spiritual_Unity	Richard Goodman	Spirituality
Prayer? Why Bother?	/en/article/Linda_Buselli/Prayer_Why_Bother	Linda Buselli	Prayer
Volume 15, Number 1, 2015 (Summer)	/image/article/Herald_covers/Herald2015.jpg	is-issue	--------------------------------------------------------
Effective Study Group Leadership	/en/article/David_Kulieke/Effective_Study_Group_Leadership	David Kulieke	Leadership, Study Groups
Can We Have a Universal Standard of Morality	/en/article/Dave_Holt/Can_We_Have_a_Universal_Standard_of_Morality	Dave Holt	Morality
Destiny of the Master Michaels?	/en/article/William_S_Sadler_Jr/Destiny_of_the_Master_Michaels	William S. Sadler Jr.	God, Michael, William S. Sadler
The Urantia Book and Its Mission	/en/article/Charles_Laurence_Olivea/The_Urantia_Book_and_Its_Mission	Charles Laurence Olivea	The Urantia Book, The Urantia Book—Purpose
Is The Urantia Book a Sacred Text	/en/article/David_Kantor/Is_The_Urantia_Book_a_Sacred_Text	David Kantor	The Urantia Book
Sixty-Four Original Urantia Book Concepts	/en/article/William_S_Sadler/Sixty_Four_Original_Urantia_Book_Concepts	William S. Sadler	The Urantia Book, The Urantia Book—Introduction, William Sadler
Society Evolving: Chaos, Progress, and Order	/en/article/Lawrence_Schkade/Society_Evolving_Chaos_Progress_and_Order	Lawrence Schkade	Civilization & Society, Evolution
The Importance of Christian Ministry	/en/article/Preston_Thomas/The_Importance_of_Christian_Ministry	Preston Thomas	Christianity, Church, The Urantia Book, Dissemination
Volume 16, Number 1, 2016 (Summer)	/image/article/Herald_covers/Herald2016.jpg	is-issue	--------------------------------------------------------
A Circle of Kindred Spirits	/en/article/Bobbie_Dreier_and_Francis_Oliver_Lynn/A_Circle_of_Kindred_Spirits	Bobbie Dreier and Francis Oliver Lynn	Study Groups
Listen Up Grandparents and YaYAs	/en/article/Sara_Blackstock/Listen_Up_Grandparents_and_YaYAs	Sara Blackstock	Family
Early Persecutions of Jesus’ Followers and Dispersion of the Apostles	/en/article/Lawrence_J_Bowman/Early_Persecutions_of_Jesus_Followers_and_Dispersion_of_the_Apostles	Lawrence J. Bowman	Christianity
Thoughts on the Bestowals of Personality and the Thought Adjuster	/en/article/Kermit_Anderson/Thoughts_on_the_Bestowals_of_Personality_and_the_Thought_Adjuster	Kermit Anderson	Personality, Thought Adjusters
Mindedness and Spirituality, Comments on the Absolutes	/en/article/William_S_Sadler_Jr/Mindedness_and_Spirituality_Comments_on_the_Absolutes	William S. Sadler Jr.	Spirituality, Bill Sadler
Why Should You Support a Urantia Organization Like The Urantia Book Fellowship?	/en/article/Paula_Thompson/Why_Should_You_Support_a_Urantia_Organization	Paula Thompson	The Urantia Book, History of Urantia Movement, Fellowship
Top/Down	/en/article/Gary_Deinstadt/Top_Down	Gary Deinstadt	Interfaith, Dissemination
Healing Meditation	/en/article/K_Brendi_Poppel/Healing_Meditation	K. Brendi Poppel	Poetry
The Nature of Personal Reality	/en/article/Byron_Belitsos/The_Nature_of_Personal_Reality	Byron Belitsos	Personality
Volume 17, Number 1, 2017 (Summer)	/image/article/Herald_covers/Herald2017.jpg	is-issue	--------------------------------------------------------
Urantia Spring	/en/article/Joshua_J_Wilson/Urantia_Spring	Joshua J. Wilson	History of Urantia Movement
